,No. of cities,Route Distance,Solution Time
0,10.0,4396.0,0.014938831329345703
1,20.0,5798.0,0.0
2,30.0,7409.0,0.011515140533447266
3,40.0,8391.0,0.062453508377075195
4,50.0,9607.0,0.09178447723388672
5,70.0,20248.0,0.3187568187713623
6,100.0,22502.0,0.3850371837615967
