,No. of cities,Route Distance,Solution Time
0,10.0,4400.79,0.33
1,20.0,5807.2,0.6
2,30.0,7423.58,3.35
3,40.0,8392.16,619.67
4,50.0,9374.59,1660.57
5,70.0,19573.05,333.65
6,100.0,21561.32,2622.15
